rel_day,aar,car,n_events,ticker,n_events_ticker
-5,0.00014388899237796485,0.00014388899237796485,474,AAPL,476
-4,0.0003214401240926591,0.00046532911647062395,475,AAPL,476
-3,-0.0004305554363966576,3.477368007396637e-05,475,AAPL,476
-2,0.00018690740046867845,0.0002216810805426448,475,AAPL,476
-1,0.00029217931416725276,0.0005138603947098976,476,AAPL,476
0,-0.00012940250723573262,0.00038445788747416495,476,AAPL,476
1,0.000661745237083431,0.001046203124557596,476,AAPL,476
2,0.0005419841279213339,0.0015881872524789297,476,AAPL,476
3,-0.0007499658329674319,0.0008382214195114978,475,AAPL,476
4,-0.00023925480890647985,0.000598966610605018,474,AAPL,476
5,-0.000550569872648798,4.8396737956219924e-05,474,AAPL,476
-5,0.00012829039649561057,0.00012829039649561057,482,MSFT,483
-4,-6.395951615684107e-05,6.433088033876951e-05,482,MSFT,483
-3,0.0002724016940155576,0.00033673257435432713,482,MSFT,483
-2,-0.0011136657650484213,-0.0007769331906940942,483,MSFT,483
-1,4.214821130403301e-05,-0.0007347849793900613,483,MSFT,483
0,0.00022714549806863518,-0.0005076394813214261,483,MSFT,483
1,-0.0005164757047931492,-0.0010241151861145753,483,MSFT,483
2,5.5205330642909154e-05,-0.0009689098554716662,483,MSFT,483
3,0.0002737053960899932,-0.0006952044593816729,482,MSFT,483
4,0.0004055413409073734,-0.00028966311847429955,482,MSFT,483
5,-0.00013568760495302445,-0.000425350723427324,481,MSFT,483
-5,0.0007341265407179033,0.0007341265407179033,482,TSLA,486
-4,-0.0005561417250685252,0.00017798481564937807,483,TSLA,486
-3,-0.0008835833244846055,-0.0007055985088352274,483,TSLA,486
-2,0.0012818587631878112,0.0005762602543525838,483,TSLA,486
-1,0.0002104454249313236,0.0007867056792839074,484,TSLA,486
0,0.0024875291036357675,0.003274234782919675,485,TSLA,486
1,0.0012654987071337553,0.00453973349005343,486,TSLA,486
2,0.0008018090046566128,0.005341542494710042,485,TSLA,486
3,0.00027198592808616736,0.00561352842279621,484,TSLA,486
4,-0.0004102403616590572,0.005203288061137153,484,TSLA,486
5,0.0012399061397366663,0.0064431942008738195,483,TSLA,486
-5,0.0006819403265845012,0.0006819403265845012,454,JPM,457
-4,-0.00021397268017218414,0.0004679676464123171,454,JPM,457
-3,-0.0003829795115486856,8.498813486363147e-05,455,JPM,457
-2,0.0005081890766707157,0.0005931772115343472,456,JPM,457
-1,-0.0002538806715077774,0.0003392965400265698,456,JPM,457
0,0.0003554475244462869,0.0006947440644728567,457,JPM,457
1,0.00022011017418046736,0.0009148542386533241,456,JPM,457
2,-0.0008952751536067683,1.9579085046555773e-05,456,JPM,457
3,0.0002714822970765553,0.00029106138212311105,456,JPM,457
4,-0.0005802857983966806,-0.0002892244162735696,456,JPM,457
5,0.00035836423976989774,6.913982349632817e-05,455,JPM,457
-5,0.00022424820865416063,0.00022424820865416063,469,XOM,472
-4,0.0008271240983582254,0.001051372307012386,469,XOM,472
-3,0.0007974326651177343,0.0018488049721301202,470,XOM,472
-2,0.0007230567772296597,0.00257186174935978,471,XOM,472
-1,-0.00029288274301157816,0.002278979006348202,471,XOM,472
0,-0.00022975082517741024,0.0020492281811707916,472,XOM,472
1,-0.0002604418359464277,0.001788786345224364,472,XOM,472
2,-0.0007349504407172378,0.0010538359045071262,472,XOM,472
3,8.895906404749986e-05,0.0011427949685546262,472,XOM,472
4,0.0007829564647226675,0.0019257514332772937,472,XOM,472
5,-0.0009907854989496861,0.0009349659343276075,472,XOM,472
