horizon,n_obs,coef,tstat,pvalue,r_squared,ticker,scorer
1,735,-0.0012184514549687451,-1.5494890675263662,0.12126419756208202,0.0033441555711291038,AAPL,lexicon
2,734,-0.0017726659793545526,-1.5318992356249663,0.12554730218016014,0.0033708828605166774,AAPL,lexicon
3,733,-0.002437700239630071,-1.834570814440299,0.0665693063649572,0.004163336755039104,AAPL,lexicon
4,732,-0.002735178725919658,-1.8656474116829742,0.06209071169502586,0.004034848649132172,AAPL,lexicon
5,732,-0.0034562030280045094,-2.218604128313748,0.026513668449468987,0.0051319640399491995,AAPL,lexicon
1,735,-0.0011953568893074773,-1.4320361373854302,0.15213347946784622,0.002866427465856747,AAPL,classifier
2,734,-0.0014565043109885894,-1.2097723641489015,0.22636625341713312,0.002022308970091702,AAPL,classifier
3,733,-0.0022497404415199383,-1.5796594710562555,0.11418487185433177,0.0031502197932608,AAPL,classifier
4,732,-0.0029427058427710876,-1.7994303074430826,0.07195063899369167,0.004147765849594198,AAPL,classifier
5,732,-0.0036336698349549576,-2.034375192182337,0.0419137811478087,0.005037797872837424,AAPL,classifier
1,705,0.0007200247132465502,1.0030796640366668,0.31582242571317487,0.0013117505555355624,MSFT,lexicon
2,705,0.000697977326695251,0.6687909192229646,0.5036288601705121,0.0005819602802138446,MSFT,lexicon
3,704,0.0001717794321635758,0.13487162747067147,0.8927133725482639,2.4766826136612963e-05,MSFT,lexicon
4,704,0.0006071141962186849,0.43369778955869887,0.6645079119884143,0.00024678986633241973,MSFT,lexicon
5,703,0.002284333271116451,1.4123502759870177,0.15784684970370833,0.002802650240609106,MSFT,lexicon
1,705,0.0006963330534037443,0.9001758994571747,0.36802664960112996,0.0010548982230462745,MSFT,classifier
2,705,0.00032165320082410786,0.2844610704573749,0.7760570635236107,0.00010626899110333099,MSFT,classifier
3,704,0.00016713398023467823,0.11604088969869295,0.907620135379717,2.0161050566347427e-05,MSFT,classifier
4,704,0.0005341120294768569,0.3364294300589875,0.7365470595700936,0.0001642505689746221,MSFT,classifier
5,703,0.002368539451844919,1.2890813242947883,0.19736981546603527,0.0025918873703382195,MSFT,classifier
1,742,-0.0019128867403854304,-1.1845673284193414,0.23618856115563402,0.001778835271373791,TSLA,lexicon
2,741,-0.0015729439190732887,-0.6867638888770039,0.49223152912078705,0.0006072096269610361,TSLA,lexicon
3,740,-0.00023159782617525662,-0.07836609396797072,0.9375368436536767,8.493039082235754e-06,TSLA,lexicon
4,739,0.00036555957311373366,0.1095598110035292,0.9127584848940309,1.5757636712243617e-05,TSLA,lexicon
5,738,-0.0022394231168522717,-0.5927842397098253,0.5533255564300166,0.0004532499454437122,TSLA,lexicon
1,742,-0.0017632871503312495,-0.9811052149624349,0.3265408590242945,0.001294340644409142,TSLA,classifier
2,741,-0.0013677256478360782,-0.5408639459948256,0.5886013632027676,0.0003933262147749472,TSLA,classifier
3,740,0.0009119162143919478,0.29029571166807433,0.7715900192620075,0.00011288724151259366,TSLA,classifier
4,739,0.0011830282662818326,0.33509564487502874,0.7375529380246078,0.00014132767287200476,TSLA,classifier
5,738,-0.0023486558034926572,-0.5823951105519151,0.5603005742034397,0.0004269717122927785,TSLA,classifier
1,704,0.0006408554040184177,0.8964567458610606,0.3700088718094424,0.0010695800227994434,JPM,lexicon
2,704,0.0014853835295778727,1.4690970021744867,0.1418064807704636,0.0028211926960040046,JPM,lexicon
3,703,0.0026432161623397158,2.2147634493148933,0.026776305224887147,0.00622160160986629,JPM,lexicon
4,702,0.002291795809335158,1.6416435942646541,0.10066388754693385,0.0035944221979870017,JPM,lexicon
5,701,0.002363588114929484,1.491506180487362,0.13582864977057804,0.0030159480871634337,JPM,lexicon
1,704,0.0005333847899433671,0.6928365672039419,0.4884121212139213,0.0006447265537593561,JPM,classifier
2,704,0.0014326271933158554,1.3167366744074798,0.18792690590663153,0.002283615834899666,JPM,classifier
3,703,0.0021534909829000358,1.6390298934185463,0.10120703414237231,0.0035929603575231006,JPM,classifier
4,702,0.0014426657909581723,0.9425310922738567,0.3459208002943034,0.0012390981488157315,JPM,classifier
5,701,0.0016668502748098505,0.9897736995984346,0.3222847426812713,0.0013055814800450039,JPM,classifier
1,711,0.0004624668317781146,0.5948105875326919,0.5519700895944745,0.00048306290768673765,XOM,lexicon
2,711,0.0014713759235826529,1.4118334589026678,0.15799900412690948,0.002533583501424075,XOM,lexicon
3,711,0.00187007472012014,1.4292631724183913,0.15292860672769856,0.00270741313221301,XOM,lexicon
4,711,0.0016543878210240463,1.064727049611715,0.28699946562054646,0.0016714561758440771,XOM,lexicon
5,711,0.0017746301887746794,1.0036529525861737,0.31554592156041184,0.0015079548868303094,XOM,lexicon
1,711,-1.194798239042633e-05,-0.013626865133860348,0.9891276711816812,2.750444610954972e-07,XOM,classifier
2,711,0.0008009578171198953,0.6973305658743526,0.48559594360379144,0.0006404400243732455,XOM,classifier
3,711,0.0013004207692580074,0.9014843710424736,0.36733083992167703,0.00111680063320041,XOM,classifier
4,711,0.0011815339249222523,0.689220373807673,0.4906845975042782,0.000727250422882797,XOM,classifier
5,711,0.0009798294640742855,0.4919898150982573,0.6227265435739734,0.00039214334893844516,XOM,classifier
